pos,word,tone
adj_pos1,작고,cute
adj_pos1,빠르고,strong
adj_pos1,용감하고,strong
adj_pos1,차분하고,norm
adj_pos1,부드럽고,cute
adj_pos1,반짝이고,cute
adj_pos1,푸르고,norm
adj_pos1,따뜻하고,norm
adj_pos1,상냥하고,norm
adj_pos1,귀엽고,cute
adj_pos1,성실하고,norm
adj_pos1,정직하고,norm
adj_pos1,부지런하고,norm
adj_pos1,친절하고,norm
adj_pos1,달콤하고,cute
adj_pos1,재밌고,norm
adj_pos1,온화하고,norm
adj_pos1,명랑하고,norm
adj_pos1,활기차고,norm
adj_pos1,든든하고,norm
adj_pos1,산뜻하고,norm
adj_pos1,유쾌하고,norm
adj_pos1,따사롭고,norm
adj_pos1,가뿐하고,norm
adj_pos1,깔끔하고,norm
adj_pos1,단정하고,norm
adj_pos1,우아하고,norm
adj_pos1,순하고,norm
adj_pos1,정갈하고,norm
adj_pos1,날렵하고,norm
adj_pos1,수줍고,norm
adj_pos1,씩씩하고,strong
adj_pos1,엉뚱하고,norm
adj_pos1,진지하고,norm
adj_pos1,똑똑하고,norm
adj_pos1,영리하고,intel
adj_pos1,열정적이고,norm
adj_pos1,매력적이고,norm
adj_pos1,다정하고,norm
adj_pos1,느긋하고,norm
adj_pos1,화사하고,norm
adj_pos1,경쾌하고,norm
adj_pos1,시원하고,norm
adj_pos1,포근하고,norm
adj_pos1,의젓하고,norm
adj_pos1,꼼꼼하고,norm
adj_pos1,정성스럽고,norm
adj_pos1,우직하고,strong
adj_pos1,건강하고,norm
adj_pos1,유능하고,norm
adj_pos1,세심하고,norm
adj_pos1,활달하고,norm
adj_pos1,독특하고,cute
adj_pos1,근엄하고,strong
adj_pos1,온순하고,norm
adj_pos1,가볍고,norm
adj_pos1,중후하고,strong
adj_pos1,따끈하고,norm
adj_pos1,말끔하고,norm
adj_pos1,수수하고,norm
adj_pos1,단순하고,norm
adj_pos1,청순하고,norm
adj_pos1,정열적이고,norm
adj_pos1,짜릿하고,norm
adj_pos1,흐뭇하고,norm
adj_pos1,엄격하고,norm
adj_pos1,자상하고,norm
adj_pos1,수줍어하고,norm
adj_pos1,순박하고,norm
adj_pos1,화끈하고,norm
adj_pos1,화려하고,norm
adj_pos1,단아하고,norm
adj_pos1,당당하고,norm
adj_pos1,의욕적이고,norm
adj_pos1,경건하고,norm
adj_pos1,청명하고,norm
adj_pos1,청량하고,norm
adj_pos1,상큼하고,norm
adj_pos1,야무지고,norm
adj_pos1,강인하고,strong
adj_pos1,튼튼하고,strong
adj_pos1,단단하고,strong
adj_pos1,강력하고,strong
adj_pos1,거칠고,strong
adj_pos1,조용하고,cute
adj_pos1,느리고,cute
adj_pos1,총명하고,intel
adj_pos1,현명하고,intel
adj_pos1,명석하고,intel
adj_pos1,지혜롭고,intel
adj_pos1,통찰력있고,intel
adj_pos1,분석적이고,intel
adj_pos1,사려깊고,intel
adj_pos1,이해심있고,intel
adj_pos1,창의적이고,intel
adj_pos1,독창적이고,intel
adj_pos1,호기심많고,intel
adj_pos2,상냥한
adj_pos2,용감한
adj_pos2,차분한
adj_pos2,부드러운
adj_pos2,반짝이는
adj_pos2,푸른
adj_pos2,따뜻한
adj_pos2,빠른
adj_pos2,귀여운
adj_pos2,작은
adj_pos2,큰
adj_pos2,날씬한
adj_pos2,둥근
adj_pos2,예쁜
adj_pos2,멋진
adj_pos2,화려한
adj_pos2,차가운
adj_pos2,시원한
adj_pos2,강한
adj_pos2,약한
adj_pos2,거친
adj_pos2,조용한
adj_pos2,느린
adj_pos2,똑똑한
adj_pos2,순한
adj_pos2,영리한
adj_pos2,단단한
adj_pos2,날카로운
adj_pos2,부러운
adj_pos2,달콤한
adj_pos2,상큼한
adj_pos2,싱거운
adj_pos2,진한
adj_pos2,밝은
adj_pos2,어두운
adj_pos2,산뜻한
adj_pos2,활기찬
adj_pos2,매력적인
adj_pos2,유쾌한
adj_pos2,단정한
adj_pos2,깔끔한
adj_pos2,튼튼한
adj_pos2,자유로운
adj_pos2,미묘한
adj_pos2,기발한
adj_pos2,섬세한
adj_pos2,수상한
adj_pos2,은은한
adj_pos2,잔잔한
adj_pos2,평화로운
adj_pos2,거대한
adj_pos2,희미한
adj_pos2,투명한
adj_pos2,은빛의
adj_pos2,금빛의
adj_pos2,말랑한
adj_pos2,폭신한
adj_pos2,매서운
adj_pos2,서늘한
adj_pos2,따끈한
adj_pos2,무거운
adj_pos2,가벼운
adj_pos2,예리한
adj_pos2,담백한
adj_pos2,기름진
adj_pos2,촉촉한
adj_pos2,파릇한
adj_pos2,은근한
adj_pos2,태연한
adj_pos2,우둔한
adj_pos2,영롱한
adj_pos2,선명한
adj_pos2,애매한
adj_pos2,기괴한
adj_pos2,눈부신
adj_pos2,흐릿한
adj_pos2,단호한
adj_pos2,울퉁불퉁한
adj_pos2,평범한
adj_pos2,특이한
adj_pos2,실키한
adj_pos2,지적인
adj_pos2,무난한
adj_pos2,익숙한
adj_pos2,새로운
adj_pos2,고운
adj_pos2,풍성한
adj_pos2,기운찬
adj_pos2,활발한
adj_pos2,싱그러운
adj_pos2,분홍빛의
adj_pos2,고요한
adj_pos2,스산한
noun,토끼
noun,호랑이
noun,사자
noun,여우
noun,곰
noun,늑대
noun,부엉이
noun,다람쥐
noun,펭귄
noun,코알라
noun,고양이
noun,강아지
noun,판다
noun,햄스터
noun,고슴도치
noun,거북이
noun,두더지
noun,참새
noun,비둘기
noun,매
noun,돌고래
noun,고래
noun,상어
noun,문어
noun,오징어
noun,백조
noun,사슴
noun,당나귀
noun,말
noun,너구리
noun,수달
noun,족제비
noun,치타
noun,하이에나
noun,퓨마
noun,돼지
noun,염소
noun,양
noun,소
noun,닭
noun,독수리
noun,까마귀
noun,여치
noun,벌
noun,잠자리
noun,나비
noun,매미
noun,개구리
noun,도마뱀
noun,악어
noun,말티즈
noun,푸들
noun,리트리버
noun,셰퍼드
noun,도베르만
noun,시바견
noun,스피츠
noun,치와와
noun,웰시코기
noun,보더콜리
noun,페르시안고양이
noun,러시안블루
noun,샴고양이
noun,스코티시폴드
noun,뱅갈고양이
noun,먼치킨
noun,노르웨이숲고양이
noun,터키시앙고라
noun,랙돌
noun,아비시니안
noun,까치
noun,황조롱이
noun,올빼미
noun,앵무새
noun,갈매기
noun,패럿
noun,친칠라
noun,페네크여우
noun,미어캣
noun,고라니
noun,얼룩말
noun,알파카
noun,낙타
noun,표범
noun,재규어
noun,코끼리
noun,기린
noun,코뿔소
noun,하마
noun,카멜레온
noun,이구아나
noun,뱀
noun,해파리
noun,가오리
noun,붕어
noun,송사리
noun,금붕어
noun,잉어
noun,두꺼비
noun,사마귀
noun,말벌
noun,풍뎅이
noun,딱정벌레
noun,메뚜기
noun,거미
noun,전갈
noun,킹크랩
noun,바다표범
noun,바다사자
noun,해달
noun,바다거북
noun,불곰
noun,흑곰
noun,반달가슴곰
noun,북극곰
noun,코요테
noun,스컹크
noun,오소리
noun,라쿤
noun,프레리독
noun,아르마딜로
